total_accuracy,f1_sniff,recall_sniff,clf_label,total_samples,positives,negatives,total_features,test_size_ratio,folds,kfold_repeats,sampling_repeats,n_mfcc_amount,model_name,model_info
0.5875,0.34562499999999996,0.3666666666666667,sniff,38,19,19,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-18
0.8270833333333334,0.8386904761904762,0.9041666666666667,sniff,38,19,19,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-18
0.8250000000000001,0.8456547619047617,0.9208333333333332,sniff,38,19,19,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-18
0.8604166666666666,0.8760119047619048,0.9416666666666667,sniff,38,19,19,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-18
0.8520833333333334,0.868125,0.9416666666666665,sniff,38,19,19,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-18
0.8145833333333333,0.8153571428571428,0.8624999999999999,sniff,38,19,19,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-18
0.7604166666666666,0.7455654761904761,0.7583333333333333,sniff,38,19,19,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-18
0.6916666666666667,0.6848214285714286,0.7208333333333332,sniff,38,19,19,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-18
0.7604166666666666,0.7553571428571428,0.7708333333333333,sniff,38,19,19,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-18
0.7395833333333334,0.7167261904761905,0.75,sniff,38,19,19,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-18
0.66875,0.652797619047619,0.7,sniff,38,19,19,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-18
0.7208333333333334,0.6873809523809524,0.6875,sniff,38,19,19,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_1_date_2019-09-18
0.7645833333333334,0.7319047619047618,0.7083333333333333,sniff,38,19,19,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_1_date_2019-09-18
0.7979166666666666,0.7770833333333333,0.7874999999999999,sniff,38,19,19,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_1_date_2019-09-18
0.76875,0.7274404761904761,0.7208333333333333,sniff,38,19,19,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_1_date_2019-09-18
0.7354166666666667,0.7011011904761905,0.6916666666666667,sniff,38,19,19,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_1_date_2019-09-18
0.8812500000000001,0.8554464285714285,0.8333333333333333,sniff,38,19,19,26,0.2,5,5,5,20,GaussianNB,None,experiment_1_date_2019-09-18
0.8479166666666667,0.8217559523809523,0.7999999999999999,sniff,38,19,19,26,0.2,5,5,5,20,GaussianNB,None,experiment_1_date_2019-09-18
0.8291666666666666,0.8019047619047619,0.775,sniff,38,19,19,26,0.2,5,5,5,20,GaussianNB,None,experiment_1_date_2019-09-18
0.86875,0.8483333333333334,0.8250000000000001,sniff,38,19,19,26,0.2,5,5,5,20,GaussianNB,None,experiment_1_date_2019-09-18
0.88125,0.8668452380952381,0.8374999999999999,sniff,38,19,19,26,0.2,5,5,5,20,GaussianNB,None,experiment_1_date_2019-09-18
0.7895833333333333,0.7949107142857144,0.8208333333333332,sniff,38,19,19,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_1_date_2019-09-18
0.75,0.7418154761904762,0.7666666666666666,sniff,38,19,19,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_1_date_2019-09-18
0.7645833333333334,0.7735416666666667,0.8291666666666667,sniff,38,19,19,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_1_date_2019-09-18
0.7749999999999999,0.7724107142857142,0.7999999999999999,sniff,38,19,19,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_1_date_2019-09-18
0.7520833333333333,0.7691666666666666,0.8208333333333333,sniff,38,19,19,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_1_date_2019-09-18
0.8687499999999999,0.876547619047619,0.9166666666666666,sniff,38,19,19,26,0.2,5,5,5,20,MLPClassifier,None,experiment_1_date_2019-09-18
0.8458333333333333,0.8539285714285714,0.9083333333333333,sniff,38,19,19,26,0.2,5,5,5,20,MLPClassifier,None,experiment_1_date_2019-09-18
0.8041666666666668,0.815029761904762,0.8624999999999999,sniff,38,19,19,26,0.2,5,5,5,20,MLPClassifier,None,experiment_1_date_2019-09-18
0.8687500000000001,0.878452380952381,0.9208333333333334,sniff,38,19,19,26,0.2,5,5,5,20,MLPClassifier,None,experiment_1_date_2019-09-18
0.85,0.8461011904761904,0.8916666666666666,sniff,38,19,19,26,0.2,5,5,5,20,MLPClassifier,None,experiment_1_date_2019-09-18
0.5,0.6666666666666666,1.0,sniff,38,19,19,26,0.2,5,5,5,20,Sequential,model_layers=5
0.8895833333333334,0.9041666666666667,0.9666666666666667,sniff,38,19,19,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-09-19
0.8270833333333333,0.8351488095238095,0.8958333333333333,sniff,38,19,19,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-09-19
0.8479166666666667,0.864672619047619,0.9333333333333333,sniff,38,19,19,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-09-19
0.9125,0.924077380952381,0.9791666666666666,sniff,38,19,19,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-09-19
0.8583333333333333,0.8691666666666668,0.9416666666666667,sniff,38,19,19,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-09-19
0.6666666666666666,0.631904761904762,0.6291666666666667,sniff,38,19,19,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-09-19
0.6666666666666666,0.6510119047619047,0.6833333333333333,sniff,38,19,19,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-09-19
0.6499999999999999,0.6344642857142857,0.6749999999999999,sniff,38,19,19,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-09-19
0.6791666666666666,0.6667261904761905,0.7041666666666666,sniff,38,19,19,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-09-19
