total_accuracy,f1_whisper,recall_whisper,clf_label,total_samples,positives,negatives,total_features,test_size_ratio,folds,kfold_repeats,sampling_repeats,n_mfcc_amount,model_name,model_info
0.7056250000000001,0.730473692973693,0.8,whisper,54,27,27,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-09-18
0.7160069444444443,0.7561720917970918,0.8949999999999999,whisper,54,27,27,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-09-18
0.7585763888888888,0.7678751803751804,0.8231249999999999,whisper,54,27,27,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-09-18
0.7414236111111112,0.7824738455988456,0.9024999999999999,whisper,54,27,27,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-09-18
0.8074652777777779,0.8180853174603175,0.865,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-18
0.7333680555555555,0.7555873293373293,0.826875,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-18
0.7579166666666667,0.7607788045288045,0.798125,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-18
0.7648958333333333,0.7871075452325452,0.8875000000000001,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-18
0.7342013888888889,0.7590517815517815,0.835,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-18
0.5263888888888888,0.3473214285714285,0.46312500000000006,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-18
0.5240277777777778,0.3615040515040515,0.505,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-18
0.5203125,0.38832521645021645,0.555,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-18
0.5097222222222222,0.22703296703296702,0.32625000000000004,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-18
0.5097222222222222,0.328003663003663,0.46187500000000004,whisper,54,27,27,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-18
0.7816319444444444,0.7907187950937951,0.84625,whisper,54,27,27,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-18
0.7800694444444445,0.795481671106671,0.865,whisper,54,27,27,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-18
0.779513888888889,0.7921968309468308,0.84625,whisper,54,27,27,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-18
0.8291666666666667,0.8350221306471306,0.86625,whisper,54,27,27,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-18
0.7575694444444445,0.7792672605172605,0.83875,whisper,54,27,27,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-18
0.7195138888888889,0.7203643578643578,0.739375,whisper,54,27,27,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-18
0.6957638888888888,0.6981985375735376,0.7275,whisper,54,27,27,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-18
0.7011458333333334,0.6987640831390831,0.7237500000000001,whisper,54,27,27,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-18
0.7228124999999999,0.7235038572538574,0.748125,whisper,54,27,27,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-18
0.7118055555555555,0.7087898906648907,0.7281249999999999,whisper,54,27,27,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-18
0.7405555555555555,0.7016603535353536,0.6774999999999999,whisper,54,27,27,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_1_date_2019-09-18
