total_accuracy,f1_cry,recall_cry,clf_label,total_samples,positives,negatives,total_features,test_size_ratio,folds,kfold_repeats,sampling_repeats,n_mfcc_amount,model_name,model_info,userInput
0.81125,0.8033829586239196,0.781875,cry,250,125,125,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_1_date_2019-08-25
0.8036931818181818,0.7980767439830116,0.78125,cry,276,138,138,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_1_date_2019-08-25
0.7187500000000001,0.7137894360756203,0.7140625,cry,100,50,50,26,0.2,5,5,5,20,GaussianNB,None,experiment_1_date_2019-08-25
0.7557291666666668,0.739958720685226,0.71875,cry,150,75,75,26,0.2,5,5,5,20,GaussianNB,None,experiment_1_date_2019-08-25
0.7511718749999999,0.7466394417783799,0.7421874999999999,cry,200,100,100,26,0.2,5,5,5,20,GaussianNB,None,experiment_1_date_2019-08-25
0.7271875000000001,0.7428151600612495,0.7787499999999999,cry,250,125,125,26,0.2,5,5,5,20,GaussianNB,None,experiment_1_date_2019-08-25
0.7275568181818182,0.7169500799971302,0.6948863636363636,cry,276,138,138,26,0.2,5,5,5,20,GaussianNB,None,experiment_1_date_2019-08-25
0.715625,0.7113040189085081,0.7109375,cry,100,50,50,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_1_date_2019-08-25
0.7942708333333333,0.7929276523518711,0.796875,cry,150,75,75,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_1_date_2019-08-25
0.786328125,0.7850024507348821,0.7875000000000001,cry,200,100,100,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_1_date_2019-08-25
0.798125,0.79644263664517,0.80125,cry,250,125,125,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_1_date_2019-08-25
0.8048295454545454,0.8062383750362464,0.8136363636363637,cry,276,138,138,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_1_date_2019-08-25
0.8203125,0.8181788334429588,0.815625,cry,100,50,50,26,0.2,5,5,5,20,MLPClassifier,None,experiment_1_date_2019-08-25
0.8515624999999999,0.8525952767039723,0.8552083333333332,cry,150,75,75,26,0.2,5,5,5,20,MLPClassifier,None,experiment_1_date_2019-08-25
0.8410156249999999,0.8419466545117212,0.84921875,cry,200,100,100,26,0.2,5,5,5,20,MLPClassifier,None,experiment_1_date_2019-08-25
0.830625,0.8310816658325416,0.8375,cry,250,125,125,26,0.2,5,5,5,20,MLPClassifier,None,experiment_1_date_2019-08-25
0.8389204545454545,0.8374251666706358,0.8340909090909091,cry,276,138,138,26,0.2,5,5,5,20,MLPClassifier,None,experiment_1_date_2019-08-25
0.8272727272727273,0.8330070729190229,0.8579545454545454,cry,276,138,138,7,0.2,5,5,5,1,Sequential,model_layers=5,experiment_2_date_2019-08-25
0.7474431818181819,0.7426714604944356,0.7380681818181818,cry,276,138,138,7,0.2,5,5,5,1,Id3Estimator,None,experiment_2_date_2019-08-25
0.7698863636363636,0.7759799295453742,0.797159090909091,cry,276,138,138,7,0.2,5,5,5,1,KNeighborsClassifier,None,experiment_2_date_2019-08-25
0.6980113636363636,0.6845355083814257,0.6647727272727273,cry,276,138,138,7,0.2,5,5,5,1,SVC,None,experiment_2_date_2019-08-25
0.7934659090909091,0.790816986784703,0.7852272727272729,cry,276,138,138,7,0.2,5,5,5,1,SVC,None,experiment_2_date_2019-08-25
0.7988636363636363,0.8017842965170916,0.8193181818181818,cry,276,138,138,7,0.2,5,5,5,1,GaussianProcessClassifier,None,experiment_2_date_2019-08-25
0.7571022727272727,0.7556942106395835,0.7562500000000001,cry,276,138,138,7,0.2,5,5,5,1,DecisionTreeClassifier,None,experiment_2_date_2019-08-25
0.7684659090909092,0.7589618255844155,0.7357954545454546,cry,276,138,138,7,0.2,5,5,5,1,RandomForestClassifier,None,experiment_2_date_2019-08-25
0.6244318181818181,0.6613787592176514,0.7340909090909091,cry,276,138,138,7,0.2,5,5,5,1,GaussianNB,None,experiment_2_date_2019-08-25
0.7213068181818182,0.7177233780064839,0.7113636363636364,cry,276,138,138,7,0.2,5,5,5,1,AdaBoostClassifier,None,experiment_2_date_2019-08-25
0.7889204545454545,0.787789376237406,0.7943181818181819,cry,276,138,138,7,0.2,5,5,5,1,MLPClassifier,None,experiment_2_date_2019-08-25
0.8812500000000001,0.8851994876229596,0.9096590909090909,cry,276,138,138,11,0.2,5,5,5,5,Sequential,model_layers=5,experiment_2_date_2019-08-25
0.7846590909090909,0.7810665368489287,0.7784090909090908,cry,276,138,138,11,0.2,5,5,5,5,Id3Estimator,None,experiment_2_date_2019-08-25
