filename,spectral_centroid,zero_crossings,spectral_rolloff,chroma_stft,rms,mel_spec,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,label
413549__inspectorj__ambience-creepy-wind-a_6.wav,1061.375935399449,0.09134239783653846,1972.110126201923,0.2465531826019287,189.92581176757812,1.8503447790862992e-05,-937.5326538085938,109.51496124267578,39.655208587646484,9.118102073669434,-1.7067904472351074,-1.4151722192764282,-11.885366439819336,-10.753374099731445,-8.058756828308105,-0.8091202974319458,-1.547434687614441,3.6064209938049316,2.367518424987793,5.393764972686768,1.347814679145813,2.3216967582702637,-0.7215642929077148,1.5519757270812988,-1.3381338119506836,0.43984130024909973,-1.982552170753479,1.430658221244812,0.24785593152046204,2.88297700881958,-0.11779477447271347,Far_miss
414297__gusgus26__asian-restaurant_(1)_0.wav,3099.595306988387,0.16024215133101852,6697.623697916667,0.5192315578460693,62.97182846069336,0.10692264139652252,-297.5799865722656,67.22659301757812,7.103056907653809,35.16105270385742,-5.364285945892334,16.38118553161621,-23.43573760986328,9.661185264587402,-16.80763816833496,1.6599364280700684,-19.85658836364746,0.6479515433311462,-14.925272941589355,-1.5655654668807983,-8.970564842224121,1.2264289855957031,-5.708474636077881,-1.1293065547943115,-4.238164901733398,-2.903137445449829,-6.58915376663208,-3.7094027996063232,-5.756750583648682,-2.5209004878997803,-5.623344898223877,Far_miss
414297__gusgus26__asian-restaurant_(1)_1.wav,3266.688284539759,0.18062111183449073,6977.9042561848955,0.528443455696106,60.02829360961914,0.05952749773859978,-284.4533996582031,64.06501007080078,16.216279983520508,33.72659683227539,-8.3793306350708,17.438962936401367,-21.673656463623047,10.314179420471191,-17.146198272705078,2.0485167503356934,-20.37533950805664,-0.801862359046936,-16.18669891357422,1.068458080291748,-8.91850757598877,-0.0230775848031044,-5.6982197761535645,-0.11869440972805023,-4.9498066902160645,-2.0446579456329346,-7.401212215423584,-3.921211004257202,-4.765789985656738,-1.8426203727722168,-5.012894153594971,Far_miss
414297__gusgus26__asian-restaurant_(1)_2.wav,3088.787000291337,0.1679009331597222,6687.7044677734375,0.5493476390838623,61.21564865112305,0.07464060187339783,-288.4076843261719,70.32640838623047,8.62421703338623,29.799800872802734,-11.443010330200195,20.915292739868164,-21.268600463867188,9.195149421691895,-16.720619201660156,-0.5019423961639404,-20.155372619628906,1.7341973781585693,-15.988191604614258,-0.3590366542339325,-8.861128807067871,0.3513112962245941,-5.168376922607422,-0.7117988467216492,-5.143036842346191,-1.7665176391601562,-7.026464462280273,-3.9717299938201904,-6.1161627769470215,-3.1732680797576904,-4.5586018562316895,Far_miss
414297__gusgus26__asian-restaurant_(1)_3.wav,3576.6723034587285,0.22343840422453703,7035.774739583333,0.5186070799827576,52.860286712646484,0.09172418713569641,-247.14279174804688,54.379783630371094,13.472789764404297,30.909934997558594,-17.132686614990234,17.480710983276367,-21.792282104492188,9.056039810180664,-18.57020378112793,-0.5997536182403564,-18.784488677978516,0.7217732667922974,-16.16960906982422,0.7217696905136108,-10.97091293334961,-1.8499244451522827,-6.173659801483154,-0.787520706653595,-4.325830459594727,-1.100088357925415,-8.551212310791016,-4.033101558685303,-4.364586353302002,-1.9369499683380127,-4.705344200134277,Far_miss
414297__gusgus26__asian-restaurant_(1)_4.wav,3285.3821369172215,0.1909247504340278,6823.2838948567705,0.4907818138599396,54.04755783081055,0.07970239222049713,-252.4670867919922,62.994483947753906,6.872784614562988,30.025901794433594,-14.596756935119629,16.005373001098633,-24.65907096862793,7.755841255187988,-18.161230087280273,1.4195963144302368,-20.462844848632812,-0.29010292887687683,-15.895078659057617,-0.14176304638385773,-11.520692825317383,-0.8186705708503723,-6.26234769821167,-0.16120006144046783,-3.3439371585845947,-0.5972938537597656,-8.212997436523438,-1.631583571434021,-4.201931476593018,-2.1759254932403564,-5.327657222747803,Far_miss
414297__gusgus26__asian-restaurant_(1)_5.wav,3125.2515289899284,0.1667745199548193,6758.5719832454815,0.5026164650917053,59.95853042602539,0.026408040896058083,-284.7861633300781,68.11499786376953,6.41929292678833,33.779388427734375,-8.747663497924805,14.364567756652832,-18.430938720703125,11.304862976074219,-17.432960510253906,3.770796060562134,-18.563648223876953,0.1826825588941574,-15.988272666931152,-0.12429095059633255,-11.168764114379883,-1.4410393238067627,-7.464962959289551,-3.7847790718078613,-6.639403343200684,0.6260271072387695,-7.225949764251709,-3.0108513832092285,-4.829659938812256,-2.608186721801758,-5.679407119750977,Far_miss
414297__gusgus26__asian-restaurant_0.wav,3099.595306988387,0.16024215133101852,6697.623697916667,0.5192315578460693,62.97182846069336,0.10692264139652252,-297.5799865722656,67.22659301757812,7.103056907653809,35.16105270385742,-5.364285945892334,16.38118553161621,-23.43573760986328,9.661185264587402,-16.80763816833496,1.6599364280700684,-19.85658836364746,0.6479515433311462,-14.925272941589355,-1.5655654668807983,-8.970564842224121,1.2264289855957031,-5.708474636077881,-1.1293065547943115,-4.238164901733398,-2.903137445449829,-6.58915376663208,-3.7094027996063232,-5.756750583648682,-2.5209004878997803,-5.623344898223877,Far_miss
414297__gusgus26__asian-restaurant_1.wav,3266.688284539759,0.18062111183449073,6977.9042561848955,0.528443455696106,60.02829360961914,0.05952749773859978,-284.4533996582031,64.06501007080078,16.216279983520508,33.72659683227539,-8.3793306350708,17.438962936401367,-21.673656463623047,10.314179420471191,-17.146198272705078,2.0485167503356934,-20.37533950805664,-0.801862359046936,-16.18669891357422,1.068458080291748,-8.91850757598877,-0.0230775848031044,-5.6982197761535645,-0.11869440972805023,-4.9498066902160645,-2.0446579456329346,-7.401212215423584,-3.921211004257202,-4.765789985656738,-1.8426203727722168,-5.012894153594971,Far_miss
414297__gusgus26__asian-restaurant_2.wav,3088.787000291337,0.1679009331597222,6687.7044677734375,0.5493476390838623,61.21564865112305,0.07464060187339783,-288.4076843261719,70.32640838623047,8.62421703338623,29.799800872802734,-11.443010330200195,20.915292739868164,-21.268600463867188,9.195149421691895,-16.720619201660156,-0.5019423961639404,-20.155372619628906,1.7341973781585693,-15.988191604614258,-0.3590366542339325,-8.861128807067871,0.3513112962245941,-5.168376922607422,-0.7117988467216492,-5.143036842346191,-1.7665176391601562,-7.026464462280273,-3.9717299938201904,-6.1161627769470215,-3.1732680797576904,-4.5586018562316895,Far_miss
