filename,spectral_centroid,zero_crossings,spectral_rolloff,chroma_stft,rms,mel_spec,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,label
laugh_1.m4a_34.wav,2402.9459687293206,0.11897334346064815,5138.161214192708,0.4567192494869232,130.5028533935547,1.4219930171966553,-270.28045654296875,87.820068359375,-11.075799942016602,9.891335487365723,-15.212328910827637,NearMiss_cry
laugh_1.m4a_35.wav,2397.7731385914312,0.12375669126157407,5057.212320963542,0.4792528450489044,129.61468505859375,1.343645691871643,-267.75543212890625,88.43942260742188,-13.569426536560059,7.849173069000244,-14.99527359008789,NearMiss_cry
laugh_1.m4a_36.wav,2359.82499538831,0.12275752314814815,4924.723307291667,0.4531022906303406,133.005126953125,0.8890628218650818,-275.7218322753906,88.26680755615234,-13.73442268371582,5.429422378540039,-21.930875778198242,NearMiss_cry
laugh_1.m4a_37.wav,2173.6041475935463,0.11081723813657407,4505.224609375,0.43084952235221863,135.21400451660156,0.9990478157997131,-277.6463928222656,97.62020874023438,-13.839808464050293,5.235787868499756,-21.697559356689453,NearMiss_cry
laugh_1.m4a_38.wav,2127.088087753078,0.10511610243055555,4485.6353759765625,0.42980560660362244,143.8017578125,0.7257185578346252,-298.4573974609375,100.27484893798828,-11.875678062438965,3.29453182220459,-18.79461669921875,NearMiss_cry
laugh_1.m4a_39.wav,2164.4366407501298,0.10921450014467593,4515.592447916667,0.4150107204914093,141.67823791503906,0.728748619556427,-293.454345703125,99.86590576171875,-11.088360786437988,1.6697251796722412,-19.331789016723633,NearMiss_cry
laugh_1.m4a_4.wav,1941.2631953799735,0.07552083333333333,4218.71337890625,0.42671364545822144,124.66397094726562,2.6205532550811768,-253.29879760742188,107.56259155273438,3.362797975540161,8.569690704345703,-15.476277351379395,NearMiss_cry
laugh_1.m4a_40.wav,2085.2978859372856,0.10051359953703703,4426.6184488932295,0.4152899980545044,145.39002990722656,0.70930016040802,-301.5219421386719,103.42372131347656,-9.41308879852295,1.4051694869995117,-18.824520111083984,NearMiss_cry
laugh_1.m4a_41.wav,2112.9602699952598,0.09944887514467593,4497.5982666015625,0.4199941158294678,123.78512573242188,1.6597609519958496,-249.24508666992188,102.82876586914062,-10.257018089294434,4.29487943649292,-14.991724967956543,NearMiss_cry
laugh_1.m4a_42.wav,2321.1001558145604,0.10894549334490741,5033.3363850911455,0.4555360674858093,115.26287841796875,1.9279053211212158,-232.7382049560547,93.67605590820312,-4.972762107849121,6.070677757263184,-15.782967567443848,NearMiss_cry
laugh_1.m4a_43.wav,2510.8424337599017,0.11600522641782407,5532.637532552083,0.47573569416999817,113.6805648803711,1.5701489448547363,-231.40904235839844,87.72427368164062,-2.491758346557617,7.148218154907227,-14.281166076660156,NearMiss_cry
laugh_1.m4a_44.wav,2457.155903230625,0.10792145905671297,5532.7870686848955,0.5016735792160034,117.33271789550781,1.5514394044876099,-239.76902770996094,89.88268280029297,-1.768398404121399,6.494397163391113,-14.663719177246094,NearMiss_cry
laugh_1.m4a_45.wav,2484.1487328577937,0.10799605758101852,5590.557861328125,0.5151668787002563,117.86720275878906,1.5310897827148438,-241.6893768310547,88.49012756347656,-1.7083491086959839,7.265127658843994,-15.313682556152344,NearMiss_cry
laugh_1.m4a_46.wav,2434.524793121766,0.10138843677662036,5620.4152425130205,0.5464381575584412,78.17967987060547,0.8982570171356201,-145.57888793945312,93.83402252197266,2.2635347843170166,8.979186058044434,-11.180689811706543,NearMiss_cry
laugh_1.m4a_47.wav,2319.341318353558,0.09324363425925926,5452.6357014973955,0.5515461564064026,67.9363784790039,1.2601078748703003,-113.03206634521484,98.65288543701172,2.6960580348968506,8.615317344665527,-11.52780532836914,NearMiss_cry
laugh_1.m4a_48.wav,2180.3467251344737,0.08711073133680555,5127.6438395182295,0.56727534532547,70.92516326904297,1.1689255237579346,-117.9578628540039,103.5841293334961,1.2607572078704834,9.558318138122559,-12.472301483154297,NearMiss_cry
laugh_1.m4a_49.wav,2145.9156478119526,0.08553285951967593,5082.135009765625,0.5845029354095459,57.480712890625,3.2089483737945557,-70.07037353515625,105.30680084228516,1.7437041997909546,10.047846794128418,-11.834282875061035,NearMiss_cry
laugh_1.m4a_5.wav,2038.3289637057953,0.07740840205439815,4512.0534261067705,0.43576180934906006,125.47906494140625,1.715761661529541,-257.0733642578125,104.31350708007812,4.391185760498047,9.933565139770508,-12.324780464172363,NearMiss_cry
laugh_1.m4a_50.wav,2135.3268490681216,0.08867730034722222,4973.7213134765625,0.5774548649787903,88.95532989501953,0.6290363073348999,-165.7423858642578,105.99676513671875,-1.1139155626296997,9.767436027526855,-11.831480026245117,NearMiss_cry
laugh_1.m4a_51.wav,2110.670257061467,0.08874285662615741,4842.677815755208,0.5748887062072754,86.60356903076172,1.5017402172088623,-158.71786499023438,106.53687286376953,-2.807450532913208,8.676576614379883,-12.08696460723877,NearMiss_cry
laugh_1.m4a_52.wav,2054.4594962410583,0.0878002025462963,4648.679606119792,0.590248703956604,90.04122924804688,1.3315683603286743,-166.18690490722656,109.49761199951172,-4.207046985626221,8.0458984375,-12.518147468566895,NearMiss_cry
laugh_1.m4a_53.wav,1999.2978589279892,0.08741816767939815,4456.276448567708,0.5579751133918762,103.23004150390625,1.6147565841674805,-199.11964416503906,111.302734375,-4.561820030212402,6.442723751068115,-14.02060317993164,NearMiss_cry
laugh_1.m4a_54.wav,1972.6532774716575,0.08695023148148148,4373.533121744792,0.553028404712677,104.94218444824219,1.60736083984375,-202.8385772705078,112.43690490722656,-4.964132308959961,5.485440731048584,-14.245808601379395,NearMiss_cry
laugh_1.m4a_55.wav,1966.56218768423,0.08927634910300926,4323.5382080078125,0.5189701914787292,132.0221405029297,0.6542502045631409,-267.027099609375,112.3206558227539,-9.22269344329834,6.3384785652160645,-19.856088638305664,NearMiss_cry
laugh_1.m4a_56.wav,1908.037002881953,0.08709490740740741,4159.4472249348955,0.5093215107917786,132.2196044921875,0.7766517996788025,-264.99310302734375,115.06112670898438,-9.856267929077148,4.256155014038086,-21.82733917236328,NearMiss_cry
laugh_1.m4a_57.wav,1993.1818493835885,0.09639259620949074,4235.361735026042,0.4810255467891693,130.33355712890625,0.7985484004020691,-261.536865234375,110.46625518798828,-10.667075157165527,5.530039310455322,-22.65599250793457,NearMiss_cry
