nearMiss_samples,total_accuracy,f1_scream,recall_scream,,,,,,,,,0.964,0.964,0.968,,0.962,0.963,0.971,,0.967,0.967,0.971,,0.972,0.972,0.98,,0.969,0.97,0.978,,0.965,0.965,0.976
77,0.967,0.967,0.976,,,,,,,,,0.848,0.846,0.841,,0.871,0.87,0.867,,0.883,0.882,0.872,,0.893,0.892,0.885,,0.894,0.894,0.891,,0.9,0.9,0.901
77,0.849,0.847,0.843,,,,,,,,,0.887,0.887,0.891,,0.894,0.893,0.889,,0.916,0.913,0.89,,0.919,0.916,0.888,,0.917,0.915,0.892,,0.913,0.91,0.885
77,0.885,0.885,0.889,,,,,,,,,0.881,0.884,0.906,,0.899,0.901,0.919,,0.908,0.909,0.921,,0.911,0.913,0.926,,0.91,0.912,0.926,,0.912,0.914,0.928
77,0.885,0.886,0.898,,,,,,,,,0.886,0.888,0.907,,0.895,0.895,0.903,,0.906,0.908,0.923,,0.911,0.912,0.921,,0.908,0.909,0.919,,0.911,0.912,0.922
77,0.881,0.883,0.897,,,,,,,,,0.693,0.764,0.994,,0.703,0.771,0.998,,0.718,0.78,0.998,,0.733,0.79,0.999,,0.738,0.793,1,,0.743,0.796,1
77,0.696,0.766,0.994,,,,,,,,,0.915,0.915,0.92,,0.929,0.929,0.93,,0.938,0.938,0.934,,0.941,0.941,0.935,,0.947,0.947,0.942,,0.946,0.945,0.938
77,0.914,0.914,0.919,,,,,,,,,0.859,0.858,0.856,,0.873,0.873,0.874,,0.877,0.876,0.871,,0.889,0.888,0.883,,0.887,0.887,0.883,,0.883,0.882,0.876
77,0.854,0.852,0.846,,,,,,,,,0.882,0.882,0.879,,0.899,0.897,0.888,,0.903,0.903,0.899,,0.919,0.919,0.912,,0.917,0.916,0.906,,0.92,0.919,0.905
77,0.879,0.877,0.871,,,,,,,,,0.846,0.846,0.849,,0.857,0.858,0.869,,0.877,0.877,0.878,,0.862,0.865,0.878,,0.864,0.864,0.868,,0.87,0.87,0.874
