filename,spectral_centroid,zero_crossings,spectral_rolloff,chroma_stft,rms,mel_spec,mfcc_1,label
332397__kedr-sfx__theatre-hall_09.wav,1436.323331713402,0.06495496961805555,2762.6302083333335,0.41303667426109314,166.4569549560547,1.2193419933319092,-166.4569549560547,Far_miss
332397__kedr-sfx__theatre-hall_10.wav,1407.3555876942924,0.06077745225694445,2699.6256510416665,0.3964800536632538,170.21311950683594,1.384685754776001,-170.21311950683594,Far_miss
332397__kedr-sfx__theatre-hall_11.wav,1350.911260509219,0.05810546875,2523.272705078125,0.41030624508857727,132.59922790527344,2.705988883972168,-132.59922790527344,Far_miss
332397__kedr-sfx__theatre-hall_12.wav,1451.6610384737926,0.06302445023148148,2818.8557942708335,0.40443259477615356,136.08767700195312,2.613884210586548,-136.08767700195312,Far_miss
332397__kedr-sfx__theatre-hall_13.wav,1411.846184402175,0.060698332609953706,2708.149210611979,0.3821287751197815,166.9447021484375,1.522404432296753,-166.9447021484375,Far_miss
332397__kedr-sfx__theatre-hall_14.wav,1525.2534685384699,0.06685158058449074,3134.3770345052085,0.40091997385025024,132.6468048095703,2.5326147079467773,-132.6468048095703,Far_miss
332397__kedr-sfx__theatre-hall_15.wav,1464.0862414774597,0.06238245081018518,2920.8892822265625,0.3851570785045624,150.4098358154297,2.059360980987549,-150.4098358154297,Far_miss
332397__kedr-sfx__theatre-hall_16.wav,1471.517296037634,0.06384051287615741,2897.711181640625,0.38644999265670776,127.01866149902344,3.298593521118164,-127.01866149902344,Far_miss
332397__kedr-sfx__theatre-hall_17.wav,1406.6137272668848,0.05901195384837963,2752.411905924479,0.40453413128852844,132.05532836914062,3.2816619873046875,-132.05532836914062,Far_miss
332397__kedr-sfx__theatre-hall_18.wav,1401.7340037547954,0.05522777416087963,2773.1974283854165,0.4062908887863159,157.32028198242188,1.8654905557632446,-157.32028198242188,Far_miss
332397__kedr-sfx__theatre-hall_19.wav,1405.2586688165525,0.057933666087962965,2785.608927408854,0.4360692501068115,156.78041076660156,1.7090271711349487,-156.78041076660156,Far_miss
332397__kedr-sfx__theatre-hall_20.wav,1310.2213052543905,0.057122124565972224,2445.513916015625,0.434618204832077,150.9373321533203,2.3472776412963867,-150.9373321533203,Far_miss
332397__kedr-sfx__theatre-hall_21.wav,1459.937550990657,0.060924388744212965,2972.828165690104,0.42444348335266113,188.5935821533203,0.9725784659385681,-188.5935821533203,Far_miss
332397__kedr-sfx__theatre-hall_22.wav,1422.1214032915884,0.056507251880787035,2889.387003580729,0.40531662106513977,158.06680297851562,1.7234902381896973,-158.06680297851562,Far_miss
332397__kedr-sfx__theatre-hall_23.wav,1427.162682008043,0.06180600766782408,2795.0297037760415,0.4083208739757538,114.32872772216797,4.063528537750244,-114.32872772216797,Far_miss
332397__kedr-sfx__theatre-hall_24.wav,1359.3699834874806,0.059995298032407406,2553.9276123046875,0.459646999835968,150.7404022216797,1.6945403814315796,-150.7404022216797,Far_miss
332397__kedr-sfx__theatre-hall_25.wav,1383.8185700535932,0.061249909577546294,2599.3865966796875,0.3981602191925049,139.52932739257812,2.2780089378356934,-139.52932739257812,Far_miss
332397__kedr-sfx__theatre-hall_26.wav,1307.5535383070173,0.06077293113425926,2358.48388671875,0.4333844482898712,153.7200164794922,1.860167384147644,-153.7200164794922,Far_miss
